,,ESTOQUE ,,,,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,FATUR. fabri.,CLIENTE,STATUS,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLIC., ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,ACS.,OS,RECALL,VALOR,ACESSÓRIOS / RECALL,TIPO,STATUS,OBS,OBS:
VR015540,17.210,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,25/05/2026,728507,GUSTAVO,PAGO,,,NÃO TEM,,,,,PRANCHA - 30/05,
VR015645,17.210,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,25/05/2026,728506,GUSTAVO,PAGO,,,NÃO TEM,,,,,PRANCHA - 30/05,
VR015661,17.210,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,25/05/2026,728505,GUSTAVO,PAGO,,,NÃO TEM,,,,,PRANCHA - 30/05,
VR012908,14.210,,,CENTRO OESTE IMPLEMENTOS LTDA,FATURADO,JRV,,,,29/05/2062,1042287,GUSTAVO,PAGO,,,NÃO TEM,,,,,NF. 726207 - VIAGEM - 64185 - 30/05/2026,
VR013018,26.260,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,29/04/2026,725341,GUSTAVO,,,,NÃO TEM,,,,,PRANCHA - 11/05,
VR010166,26.260,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,15/04/2026,723711,GUSTAVO,,,,NÃO TEM,,,,,,
VR007834,26.320,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,16/03/2026,719836,GUSTAVO,PAGO,NÃO,381021,NÃO TEM,,,,,,
VR007322,26.260,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,13/04/2026,723328,GUSTAVO,PAGO,NÃO,382832,NÃO TEM,,,,,29/04/2026 - PRANCHA,
VR014875,26.260,,,CENTRO OESTE IMPLEMENTOS LTDA,VENDA DIRETA,JRV,,,,07/05/2026,726659,GUSTAVO,PAGO,,,NÃO TEM,,,,,PRANCHA 14/05/26,
VR007587,26.320,,,CENTRO OESTE IMPLEMENTOS LTDA - AVARIADO PRANCHA GABARDO,VENDA DIRETA,JRV,,,,09/03/2026,719248,GUSTAVO,PAGO,NÃO,381022,NÃO TEM,,,,,,
VR009344,17.210,BRANCO GEADA,,COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SAO FRANCISCO E DO,FATURADO,PATIO 2,AGENDADO,,,24/06/2026,1046611,WALERIA,,NÃO,383609,NÃO TEM,,,,,JRV,
