,,ESTOQUE ,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,COR,DT FATUR.,CLIENTE,LOCAL - HOJE,MOVIMENTAÇÃO DESTINO,DATA SOLICITADA,DATA ENTREGA,DATA DE FAT.,NF,VENDEDOR,PAGO,OS,RECALL,ACESSÓRIOS,TIPO,,OBS,OBS:
VR005553,EXPRESS,BRANCO GEADA,,ESTOQUE BELCAR - BAÚ FACCHINI,ANS,,,,,,,,,,,,,,
VR007570,26.260,BRANCO GEADA,31/03/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 722388 - VIAGEM - 64185 - 15/05/2026,
VR000686,9.180,AZUL AMBEV,19/01/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,SUPER FRANGO - LAVADO,
VR009669,26.260,BRANCO GEADA,07/04/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 722960 - VIAGEM - 64185 - 15/05/2026,
VR014079,25.480,VERDE ECOVIAS,06/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 726464 - GABARDO RJ,
VR203618,29.530,BRANCO GEADA,08/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 726763 - GABARDO RJ,
VR203620,29.530,MARROM VANILLA,14/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 727195 - GABARDO RJ,
VR203625,29.530,BRANCO GEADA,08/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 726764 - GABARDO RJ,
VR005439,EXPRESS,,,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,RETIROU O BAU - ESVAZIAR PATIO,
VR013388,30.320,BRONZE TERRA,06/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 726467 - GABARDO RJ,
VR016071,27.320,AZUL UNIQUE ,20/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 727950,
VR016592,26.260,BRANCO GEADA,21/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 728084,
VR016624,26.260,BRANCO GEADA,21/05/26,ESTOQUE BELCAR,ANS,,,,,,,,,,,,,NF. 728147,
TR032529,9.180,AZUL NOTURNO,LAVADO,ESTOQUE BELCAR - V-TRONIC - HD - BAU PRETO JRV,EXPOSIÇÃO / EVENTO,,,,,,,,,,,,,"R$ 425.000,00 + R$ 40.000,00 BAU",
TR202295,28.480,BRANCO GEADA,04/12/25,ESTOQUE BELCAR - MASCARELLO 33 LUGARES,EXPOSIÇÃO / EVENTO,,,,,,,,,,,,,PARA ADESIVAR BRASIL - PRONTO,
VR009742,17.210,BRANCO,,ESTOQUE BELCAR,FACCHINI,,,,,,,,,,,,,,
VR006516,17.210,BRANCO,12/03/26,ESTOQUE BELCAR,FACCHINI,,,,,,,,,,,,,ANAPOLIS - 12/03/26,
TR029068,11.180,PRATA,,ESTOQUE BELCAR,FACCHINI,,,,,,,,372904,,,,,FACCHINI - 11/11,
VR008690,26.260,BRANCO,27/03/26,ESTOQUE BELCAR ,FACCHINI,,,,,,,,,,,,,63798 - SERTAOZINHO - 02/04/2026,
VR008826,26.260,BRANCO,27/03/26,ESTOQUE BELCAR ,FACCHINI,,,,,,,,,,,,,63798 - SERTAOZINHO - 02/04/2026,
VR010776,11.180 OD,SEM COR,02/04/06,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 722746,
VR011275,26.260,BRANCO GEADA,09/04/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 723183 ,
VR011096,26.260,BRANCO GEADA,09/04/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 723184,
VR011071,26.260,BRANCO GEADA,09/04/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 723185,
VR012233,26.260,BRANCO GEADA,14/04/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 723559,
VR013209,31.320,BRANCO GEADA,27/04/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 725049,
VR013011,26.260,BRANCO GEADA,30/04/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 725911,
VR013034,14.180,BRANCO GEADA,30/04/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 725998,
VR014316,26.260,BRANCO GEADA,30/04/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 726354,
VR012203,30.320,BRANCO GEADA,12/05/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 726829,
VR014743,27.320,BRANCO GEADA,27/05/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 729053,
VR013975,30.320,BRONZE NAMIBIA,27/05/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 729181,
VR203709,28.480,AZUL PEPSI,28/05/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 729292,
VR017466,17.210,BRANCO GEADA,28/05/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 729472,
VR017644,26.260,BRANCO GEADA,28/05/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 729486,
VR016780,26.260,BRANCO GEADA,28/05/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 729464,
VR017611,17.210,BRANCO GEADA,28/05/26,ESTOQUE BELCAR,HOLMES,,,,,,,,,,,,,NF. 729494,
TR026746,17.230 OD,SEM COR,14/10/25,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 704300 - ERECHIM - RS 20/10/25,
VR006549,26.260,VERMELHO NOBRE,10/03/26,GODLMAN,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719473 - GOLDMAN / 08/05,
VR007011,26.320,BRONZE NAMIBIA,12/03/26,GOLDMAN,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719596 - SOLIVAC,
VR006643,26.320,AZUL UNIQUE ,12/03/26,GOLDMAN,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719651 - SOLIVAC,
VR010788,11180 OD,SEM COR,02/04/06,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 722750 - MARCOPOLO - 30/04/2026,
VR011444,17.230,SEM COR,28/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 725198 - VIAGEM 64180 - 14/05 - ,
VR013922,31.320,CINZA,29/04/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 725540 - SÃO CARLOS - SP,
VR010358,11.180 OD,SEM COR,30/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 721562 - 63999 - 01/05 - CASCAVEL MARCOPOLO,
VR010354,11.180 OD,SEM COR,30/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 721561 - 64004 - 02/05 - MARCOPOLO ,
VR008417,11.180 OD,SEM COR,17/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719940 - CAXIAS DO SUL - RS - 26/03,
VR008421,11.180 OD,SEM COR,17/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 719941 - CAXIAS DO SUL - RS - 26/03,
VR008769,11.180 OD,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720238 - CAXIAS DO SUL - RS - 26/03,
VR008801,11.180,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720237 - CAXIAS DO SUL - RS - 26/03,
VR008755,11.180,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720240 - CASCAVEL - PR - 26/03,
VR008798,11.180,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720241 - CASCAVEL - PR - 26/03,
VR008734,11.180,SEM COR,18/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720236 - CAXIAS DO SUL - RS - 26/03,
VR004718,17.230,SEM COR,23/03/26,ESTOQUE BELCAR,IMPLEMENTADOR,,,,,,,,,,,,,NF. 720577 - ERECHIM - RS - 01/04,
