,,,PROGRAMAÇÃO ,,,,,,,,,,,,,,,,,
CHASSI,VEICULO,OS,IMPLEMENTO,,STATUS,CLIENTE,LOCAL,ACES.,PAGO,CAMPANHA,LOCAL,VENDA DT,NF,VENDEDOR,DT ENT.,HR ENT.,,VALOR,OS.,ACESSÓRIOS
VR013116,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041465,WALERIA,,,,,,
VR011840,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041464,WALERIA,,,,,,
VR011974,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041462,WALERIA,,,,,,
VR012019,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041461,WALERIA,,,,,,
VR012624,17.210,,NENHUM,FALSE,,CODEVASF,JRV,N,PAGO,NÃO TEM,,26/05/2026,1041460,WALERIA,,,,,,
TR024329,26.320,,NENHUM,FALSE,,CONSORCIO CUIDANDO DE GOIANIA,IMPLEMENTADOR,N,,NÃO TEM,SOLIVAC - 04/02/26 - PRANCHA GABARDO,29/01/2026,1021819,PAULO,,,,,,
TR028280,26.320,,NENHUM,FALSE,,CONSORCIO CUIDANDO DE GOIANIA,IMPLEMENTADOR,N,,NÃO TEM,SOLIVAC - 04/02/26 - PRANCHA GABARDO,29/01/2026,1021814,PAULO,,,,,,
TR023650,26.320,376512,VAI COLOCAR,FALSE,,CONSORCIO CUIDANDO DE GOIANIA,IMPLEMENTADOR,N,,NÃO TEM,SOLIVAC - 04/02/26 - PRANCHA GABARDO,29/01/2026,1021809,PAULO,,,,,,
TR002546,26.320,365078,,FALSE,,CONSORCIO CUIDANDO DE GOIANIA,IMPLEMENTADOR,N,,NÃO TEM,SOLIVAC - 04/02/26 - PRANCHA GABARDO,29/01/2026,1021813,PAULO,,,,,,
TR014186,26.260,365626,NENHUM,FALSE,SEMI NOVOS,CONSORCIO GNS DRENAGEM,PATIO 1,N,PAGO,NÃO TEM,,20/05/2026,1040310,,,,,,,
TR033344,26.260,,,FALSE,USADO,CONSORCIO GNS DRENAGEM - Ñ PG,ANS,N,NÃO,NÃO TEM,,20/05/2026,1040342,GUSTAVO,,,,,,
SR019635,26.260,353167,NENHUM,FALSE,,CONSORCIO GOLDMAN,JRV,N,PAGO,TEM,Circular AT 054-25 - Ação de Oficina – Substituição do dreno do filtro de ar - 1 Item(s),26/09/2024,,,,,,,,
VR009703,17.210,,,FALSE,SEMI NOVOS,CONSORCIO MINEIRO,JRV,N,PAGO,NÃO TEM,JRV,31/03/2026,1040465,GUSTAVO,,,,,,
TR009276,27.260,367149,NENHUM,FALSE,,CONSTRUTORA CASTANHEIRA LTDA,JRV,N,,NÃO TEM,RIO GRANDE DO SUL - FLORES DA CUNHA,28/07/2025,990862,CRISTIANO,,,,,,
TR001195,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677884,RUI,,,,,,
TR001775,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677888,RUI,,,,,,
TR001390,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677891,RUI,,,,,,
TR001024,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677887,RUI,,,,,,
TR001235,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677886,RUI,,,,,,
TR000988,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677885,RUI,,,,,,
TR001386,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677890,RUI,,,,,,
TR001612,27.260,,,FALSE,,CONSTRUTORA CENTRO LESTE S/A,IMPLEMENTADOR,,,NÃO TEM,CLIENTE,06/02/2026,677890,RUI,,,,,,
VR001808,30.320,382198,NENHUM,FALSE,AGENDAR,COOPERATIVA AGROPEC MISTA DE PIRACANJUBA - COAPIL,PATIO 1,A,PAGO,NÃO TEM,,21/05/2026,1040580,LUIZ CLAUDIO,,,,"R$ 3.000,00",382240,"TAPETES, CHINIL, SOPRADOR E INSULFILME"
SR035597,17.260,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,SERVICARGA - HAWAI,13/12/2024,,FRANK,,,,,,
SR035722,17.260,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,SERVICARGA - HAWAI,13/12/2024,,FRANK,,,,,,
SR034543,17.260,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,SERVICARGA - HAWAI,13/12/2024,,FRANK,,,,,,
TR006234,17.260 OD,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,FABRICA,N,,NÃO TEM,,30/04/2025,687141,GUSTAVO,,,,,,
TR005666,17.260 OB,,NENHUM,FALSE,,COOPERATIVA DE TRANSP DO E DE GOIAS,IMPLEMENTADOR,N,,NÃO TEM,DESTINO - SERVICARGA SAO BERNARDO - 12/05,30/04/2025,687148,GUSTAVO,,,,,,
